Wavelength Flux
3800.44995 0.521096945
3801.44995 0.479614496
3802.44995 0.469822943
3803.44995 0.525284469
3804.44995 0.58490169
3805.44995 0.61918807
3806.44995 0.571651936
3807.44995 0.469834447
3808.44995 0.355532885
3809.44995 0.265437663
3810.44995 0.236422345
3811.44995 0.226964802
3812.44995 0.218299299
3813.44995 0.17635031
3814.44995 0.109519169
3815.44995 0.0414059572
3816.44995 -0.0135930683
3817.44995 -0.0409677289
3818.44995 -0.0317513011
3819.44995 0.0198252574
3820.44995 0.138877451
3821.44995 0.296119362
3822.44995 0.432336956
3823.44995 0.498660207
3824.44995 0.425126165
3825.44995 0.301655591
3826.44995 0.184632882
3827.44995 0.170991838
3828.44995 0.258621812
3829.44995 0.341446966
3830.44995 0.356476128
3831.44995 0.194074288
3832.44995 -0.0305568799
3833.44995 -0.233714506
3834.44995 -0.309240997
3835.44995 -0.219662875
3836.44995 -0.0608358271
3837.44995 0.118703045
3838.44995 0.240692496
3839.44995 0.319637001
3840.44995 0.365883112
3841.44995 0.3919999
3842.44995 0.405074209
3843.44995 0.376095176
3844.44995 0.294584453
3845.44995 0.11423938
3846.44995 -0.0883321092
3847.44995 -0.235372499
3848.44995 -0.235697329
3849.44995 -0.0243265312
3850.44995 0.214139745
3851.44995 0.378441244
3852.44995 0.265883237
3853.44995 -0.0212190785
3854.44995 -0.315234005
3855.44995 -0.472156644
3856.44995 -0.335778356
3857.44995 -0.0972722918
3858.44995 0.145474464
3859.44995 0.221128866
3860.44995 0.152220652
3861.44995 0.0543104261
3862.44995 0.000957156939
3863.44995 0.0926345214
3864.44995 0.240692809
3865.44995 0.395182133
3866.44995 0.496639043
3867.44995 0.519010603
3868.44995 0.472471714
3869.44995 0.353767753
3870.44995 0.146310866
3871.44995 -0.072190091
3872.44995 -0.240435958
3873.44995 -0.271343291
3874.44995 -0.144830912
3875.44995 0.0316393822
3876.44995 0.196292713
3877.44995 0.250053346
3878.44995 0.227818355
3879.44995 0.162412554
3880.44995 0.0819826275
3881.44995 0.01426272
3882.44995 -0.0301330108
3883.44995 -0.0357072428
3884.44995 0.021340223
3885.44995 0.125901788
3886.44995 0.256098568
3887.44995 0.391090006
3888.44995 0.508935869
3889.44995 0.604509354
3890.44995 0.668825448
3891.44995 0.702916741
3892.44995 0.692923367
3893.44995 0.622726738
3894.44995 0.476474732
3895.44995 0.226580381
3896.44995 -0.00538719911
3897.44995 -0.142528906
3898.44995 -0.0454223715
3899.44995 0.251971483
3900.44995 0.591985166
3901.44995 0.864708245
3902.44995 0.903384328
3903.44995 0.839928687
3904.44995 0.756061971
3905.44995 0.773021638
3906.44995 0.915796161
3907.44995 1.04854965
3908.44995 1.10293198
3909.44995 0.944862664
3910.44995 0.690628052
3911.44995 0.439160168
3912.44995 0.306038111
3913.44995 0.355548322
3914.44995 0.447503924
3915.44995 0.514790475
3916.44995 0.42334944
3917.44995 0.247708961
3918.44995 0.0780565441
3919.44995 -0.00466255657
3920.44995 0.0721960068
3921.44995 0.221024379
3922.44995 0.399013519
3923.44995 0.542834938
3924.44995 0.638867557
3925.44995 0.690042257
3926.44995 0.692664683
3927.44995 0.647439003
3928.44995 0.558123589
3929.44995 0.43343693
3930.44995 0.26993379
3931.44995 0.097883299
3932.44995 -0.0296949428
3933.44995 -0.0709442571
3934.44995 0.0385864265
3935.44995 0.212722018
3936.44995 0.387728363
3937.44995 0.481995851
3938.44995 0.463406831
3939.44995 0.387338489
3940.44995 0.278476328
3941.44995 0.168980032
3942.44995 0.0814229995
3943.44995 0.0358239189
3944.44995 0.0661821067
3945.44995 0.184039459
3946.44995 0.312476069
3947.44995 0.405957878
3948.44995 0.372406662
3949.44995 0.267882913
3950.44995 0.164906472
3951.44995 0.132476225
3952.44995 0.236642614
3953.44995 0.371929675
3954.44995 0.484388083
3955.44995 0.475958407
3956.44995 0.36952132
3957.44995 0.234903365
3958.44995 0.121272013
3959.44995 0.0928907543
3960.44995 0.0998238847
3961.44995 0.116931781
3962.44995 0.106896758
3963.44995 0.0627762526
3964.44995 0.00717924861
3965.44995 -0.0499898046
3966.44995 -0.0908837989
3967.44995 -0.126394495
3968.44995 -0.16234155
3969.44995 -0.208334818
3970.44995 -0.264294356
3971.44995 -0.30982706
3972.44995 -0.332588494
3973.44995 -0.311260521
3974.44995 -0.261210352
3975.44995 -0.198840693
3976.44995 -0.141646937
3977.44995 -0.103492431
3978.44995 -0.066304706
3979.44995 -0.0233214945
3980.44995 0.0428190939
3981.44995 0.119316399
3982.44995 0.188146502
3983.44995 0.234570712
3984.44995 0.244110078
3985.44995 0.229813889
3986.44995 0.199417248
3987.44995 0.1572254
3988.44995 0.11757227
3989.44995 0.0986728221
3990.44995 0.117326871
3991.44995 0.198784918
3992.44995 0.299970925
3993.44995 0.391269147
3994.44995 0.429390758
3995.44995 0.406544238
3996.44995 0.362359732
3997.44995 0.318564981
3998.44995 0.308359176
3999.44995 0.324889719
4000.44995 0.363558948
4001.44995 0.419640213
4002.44995 0.487598598
4003.44995 0.564882517
4004.44995 0.645847559
4005.44995 0.738050699
4006.44995 0.810060143
4007.44995 0.833439052
4008.44995 0.772241473
4009.44995 0.600603044
4010.44995 0.418178618
4011.44995 0.283076167
4012.44995 0.305894703
4013.44995 0.443321407
4014.44995 0.603588641
4015.44995 0.714110851
4016.44995 0.687708199
4017.44995 0.600130856
4018.44995 0.490998119
4019.44995 0.416769236
4020.44995 0.39301613
4021.44995 0.400660455
4022.44995 0.435237974
4023.44995 0.48518613
4024.44995 0.550778449
4025.44995 0.627607465
4026.44995 0.715911627
4027.44995 0.805290878
4028.44995 0.863165736
4029.44995 0.867404938
4030.44995 0.776038051
4031.44995 0.639993072
4032.44995 0.50703305
4033.44995 0.429012418
4034.44995 0.443012804
4035.44995 0.508312821
4036.44995 0.607091427
4037.44995 0.718327522
4038.44995 0.816850364
4039.44995 0.880229175
4040.44995 0.879029393
4041.44995 0.787839055
4042.44995 0.665437698
4043.44995 0.547961712
4044.44995 0.494851887
4045.44995 0.502187729
4046.44995 0.536073804
4047.44995 0.575842977
4048.44995 0.595183671
4049.44995 0.596040547
4050.44995 0.577418685
4051.44995 0.529078126
4052.44995 0.461617082
4053.44995 0.408347756
4054.44995 0.392181844
4055.44995 0.451614439
4056.44995 0.549943864
4057.44995 0.657780409
4058.44995 0.743108094
4059.44995 0.785032332
4060.44995 0.78849113
4061.44995 0.752312362
4062.44995 0.66631335
4063.44995 0.561248064
4064.44995 0.468815058
4065.44995 0.426001549
4066.44995 0.459012777
4067.44995 0.510642946
4068.44995 0.551212192
4069.44995 0.525627017
4070.44995 0.450517774
4071.44995 0.357528269
4072.44995 0.2713736
4073.44995 0.220310912
4074.44995 0.193844393
4075.44995 0.191152602
4076.44995 0.203527734
4077.44995 0.235988125
4078.44995 0.299091905
4079.44995 0.400541186
4080.44995 0.558982909
4081.44995 0.713262916
4082.44995 0.821194828
4083.44995 0.816575825
4084.44995 0.698708951
4085.44995 0.553020298
4086.44995 0.432403803
4087.44995 0.423113227
4088.44995 0.471947163
4089.44995 0.538012028
4090.44995 0.57600379
4091.44995 0.557617068
4092.44995 0.51242429
4093.44995 0.450745702
4094.44995 0.384390861
4095.44995 0.326438278
4096.4502 0.289005429
4097.4502 0.287981033
4098.4502 0.333177298
4099.4502 0.39690119
4100.4502 0.46136412
4101.4502 0.505000114
4102.4502 0.521178901
4103.4502 0.510244668
4104.4502 0.466206521
4105.4502 0.38173449
4106.4502 0.312012523
4107.4502 0.291272968
4108.4502 0.389222205
4109.4502 0.574607909
4110.4502 0.76038605
4111.4502 0.882151186
4112.4502 0.853396356
4113.4502 0.744204402
4114.4502 0.597881198
4115.4502 0.470312059
4116.4502 0.387234896
4117.4502 0.336558074
4118.4502 0.321104586
4119.4502 0.340323955
4120.4502 0.384183705
4121.4502 0.441111356
4122.4502 0.500325263
4123.4502 0.549413741
4124.4502 0.575503051
4125.4502 0.567608714
4126.4502 0.499014318
4127.4502 0.41040805
4128.4502 0.341370165
4129.4502 0.338270068
4130.4502 0.430401802
4131.4502 0.549345732
4132.4502 0.65746659
4133.4502 0.688334286
4134.4502 0.662271738
4135.4502 0.613666952
4136.4502 0.572054267
4137.4502 0.568223536
4138.4502 0.568652511
4139.4502 0.559103668
4140.4502 0.505798042
4141.4502 0.429654241
4142.4502 0.371326923
4143.4502 0.362409383
4144.4502 0.443922311
4145.4502 0.55587256
4146.4502 0.662321389
4147.4502 0.709069371
4148.4502 0.688413382
4149.4502 0.631623209
4150.4502 0.55518055
4151.4502 0.482295781
4152.4502 0.41668272
4153.4502 0.364480823
4154.4502 0.331126541
4155.4502 0.322580397
4156.4502 0.345508695
4157.4502 0.404088467
4158.4502 0.512871087
4159.4502 0.632361174
4160.4502 0.729555666
4161.4502 0.761571467
4162.4502 0.711274922
4163.4502 0.631856263
4164.4502 0.55206573
4165.4502 0.523790181
4166.4502 0.528543949
4167.4502 0.547117651
4168.4502 0.559960008
4169.4502 0.551777542
4170.4502 0.548122108
4171.4502 0.558254659
4172.4502 0.60927856
4173.4502 0.676402211
4174.4502 0.729387581
4175.4502 0.738836706
4176.4502 0.677981853
4177.4502 0.593859732
4178.4502 0.51178509
4179.4502 0.477810264
4180.4502 0.483584851
4181.4502 0.503427804
4182.4502 0.51829654
4183.4502 0.503810108
4184.4502 0.485715449
4185.4502 0.475371927
4186.4502 0.499875367
4187.4502 0.548004806
4188.4502 0.587587237
4189.4502 0.594564319
4190.4502 0.530479431
4191.4502 0.454987377
4192.4502 0.405153453
4193.4502 0.447190106
4194.4502 0.573753238
4195.4502 0.702137113
4196.4502 0.779643059
4197.4502 0.721809149
4198.4502 0.603380501
4199.4502 0.478282064
4200.4502 0.414209992
4201.4502 0.438866794
4202.4502 0.507845104
